2025-05-08 11:32:52,790 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,790 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,790 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,790 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,790 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,790 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,790 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,790 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,790 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,790 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,790 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,790 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,790 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,790 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,790 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,790 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,794 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,794 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,794 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,794 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,794 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,794 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,794 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,794 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,794 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,794 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,794 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,794 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,794 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,794 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,794 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,794 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,794 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,794 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,794 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,794 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,799 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,799 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,799 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,799 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,799 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,799 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,799 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,799 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,799 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,799 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,799 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,799 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,799 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,799 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,799 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,799 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,799 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,799 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,799 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,799 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,799 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,799 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,799 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,799 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,799 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,799 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,799 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,799 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,799 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,799 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,799 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,799 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,807 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,807 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,807 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,807 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,807 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,807 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,807 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,807 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,880 - INFO - Saved table to output\Attendance Tracker Technical Documentation_table_native_p2_0.csv
2025-05-08 11:32:52,880 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,880 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,880 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,880 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,880 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,880 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,880 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,880 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,880 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,880 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,880 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,880 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,880 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,880 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,880 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,880 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,880 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,880 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,880 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,880 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,880 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,880 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,880 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,880 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,880 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,880 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,880 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,880 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,880 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,880 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,880 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,880 - WARNING - CropBox missing from /Page, defaulting to MediaBox
